Date,Open,High,Low,Close,Volume
2021-07-07,717.756635169698,723.0672742086946,714.8088503924621,720.330078125,9629190
2021-07-08,713.5455269010719,719.4878176227463,708.1412739982538,711.4165649414062,8420922
2021-07-09,707.7202288337677,709.3344565644245,700.6783302804919,702.7838745117188,10695842
2021-07-12,702.7839848018767,702.7839848018767,694.3618065552497,695.7655029296875,14458978
2021-07-13,700.023205629554,704.7021924422862,694.4084214542754,702.713623046875,18178142
2021-07-14,700.6782731376837,705.2870637113084,697.6837101630698,701.4503173828125,9788494
2021-07-15,704.187582188956,714.3643794730821,701.6843354297325,711.5335693359375,10438802
2021-07-16,714.9258244288939,715.8616218663434,710.6445968457965,712.3056030273438,5170628
2021-07-19,695.765432641751,696.6310338952321,685.93955901332,688.279052734375,25111600
2021-07-20,674.7100129120555,680.3247980403112,671.9728165853405,675.2481079101562,24174250
2021-07-22,681.3073719096726,687.109327947589,676.1137071053906,677.8449096679688,13207114
2021-07-23,679.1549656917061,681.9389401209187,671.5750295688387,675.0608520507812,13126684
2021-07-26,669.0951591045279,675.645741081775,668.2061401271644,671.22412109375,13167166
2021-07-27,671.9493846985216,678.4064103071216,671.9493846985216,673.6572265625,22401430
2021-07-28,671.4580955262957,673.1658801980516,656.9298171089981,663.1528930664062,20670342
2021-07-29,668.2763382138219,669.0717431809376,661.281275286732,663.5973510742188,13702230
2021-07-30,663.9483202569891,669.9140292656406,658.7780162695392,667.4341430664062,11655488
2021-08-02,671.4346657200673,671.4346657200673,662.6615646871396,665.6561279296875,13258786
2021-08-03,659.7371752995092,673.7273580288141,659.7371752995092,671.2942504882812,12033120
2021-08-04,674.241978040507,689.9165833592835,673.7740793742748,685.6119384765625,22053948
2021-08-05,686.4541971765548,705.1467852148428,681.915602462393,694.7593994140625,18822408
2021-08-06,694.151129892624,701.8480405574549,689.6826745211256,698.4089965820312,13339270
2021-08-09,698.1049668306257,705.2872015472958,690.6185864892784,703.6729736328125,10998048
2021-08-10,696.7011077294679,711.0889915862048,696.7011077294679,705.4274291992188,14838346
2021-08-11,708.8198440384862,710.6680212967121,697.6604700186167,699.4852294921875,12585786
2021-08-12,700.4444079659049,705.4041231454273,696.8416105444284,702.503173828125,8597674
2021-08-13,702.4095267761425,716.3529313032537,702.3159698799373,714.1069946289062,16658428
2021-08-16,714.0837058786648,718.2245984922649,711.884547430942,716.1658325195312,6252778
2021-08-17,709.8959273107525,713.0776615079304,704.3279781405072,708.7028198242188,8282666
2021-08-18,728.377938007942,732.4252734894459,705.7550455915143,707.9307861328125,22985932
2021-08-20,695.3209025897706,711.112484091962,695.3209025897706,708.7495727539062,13150406
2021-08-23,715.8148667910151,717.3589554598426,705.8954364767717,713.3583984375,10843054
2021-08-24,715.8850444307441,732.0275503345746,714.6918798434089,729.3839111328125,18381314
2021-08-25,726.2255583877181,732.1679061275219,724.3071851475217,728.7054443359375,7727974
2021-08-26,725.2430159343049,735.0688890534149,722.1782564719654,727.4889526367188,11119002
2021-08-27,726.1788245585184,729.2903625174678,723.0205081501615,724.5177612304688,6382138
2021-08-30,727.8632958559031,734.6010493882512,725.9917008256144,733.7822265625,9049166
2021-08-31,731.559720298122,740.8474993755592,730.9514290559877,739.9351196289062,12062576
2021-09-01,736.9405133137502,747.702184301824,736.7065639444443,738.85888671875,12422558
2021-09-02,736.5193863022039,744.8947850702093,735.1858863326421,743.4910888671875,9618524
2021-09-03,742.1341103203025,747.7021162261457,733.8055478012244,737.4317626953125,10735334
2021-09-06,739.2566074828768,739.7245062330459,730.834429979835,732.5890502929688,7876896
2021-09-07,731.0918054706792,740.2158312029533,727.6761217089012,734.2501220703125,7245496
2021-09-08,735.5133365404894,739.5138932608036,732.5421912271912,737.5955200195312,6724080
2021-09-09,736.472648615316,739.0226740119963,730.3899647322161,733.9459838867188,8250948
2021-09-13,730.8577062223487,741.1514767325226,726.9507638383852,727.8397827148438,8959164
2021-09-14,729.9221155879027,732.0276601520985,723.6522603512091,724.564697265625,9758506
2021-09-15,718.2245000665279,727.4889171159565,718.2245000665279,723.7457275390625,14822998
2021-09-16,719.5112312007644,731.9339646234694,718.8328009274061,729.8985595703125,10260550
2021-09-17,734.133070294954,743.4910444223593,729.5476401259087,740.2859497070312,20498102
2021-09-20,731.7935977510607,740.0753822447209,728.9862054323227,729.851806640625,8781610
2021-09-21,730.857800489461,733.9693384001288,715.3937249500291,726.1553955078125,14774996
2021-09-22,724.7751455141527,725.3132404864232,715.8850694878332,717.6162719726562,10582202
2021-09-23,721.4997886706309,735.5367495397094,721.4997886706309,734.6009521484375,13664304
2021-09-24,738.812081199107,752.3577263390091,736.940486313232,749.3632202148438,20806702
2021-09-27,755.9839427357285,765.248360283423,752.3811454208159,760.3822021484375,16415462
2021-09-28,763.6106695972712,763.6106695972712,740.2157348669626,755.6798095703125,12773790
