Date,Open,High,Low,Close,Volume
2021-07-07,963.6961219133111,963.6961219133111,950.2218196134942,955.679443359375,10454892
2021-07-08,958.8046409163389,958.8046409163389,942.522218479792,947.7760620117188,11185460
2021-07-09,945.692616426164,947.3684433649398,935.7737479702222,938.0836181640625,9037675
2021-07-12,941.9560333000883,951.8070347554016,939.5782363454429,943.92626953125,8585292
2021-07-13,951.1276138236502,952.5090313833667,945.7152147930674,950.9917602539062,6717133
2021-07-14,951.2861518765445,954.2301252196338,942.6354298484742,944.7868041992188,8532544
2021-07-15,948.8630578642602,948.8630578642602,941.3899132919198,943.1336669921875,9448356
2021-07-16,945.5794029707818,957.808201493028,945.5114761829108,956.7438354492188,8828185
2021-07-19,951.1276470202398,961.9976700838799,947.6175572445412,950.652099609375,8354449
2021-07-20,950.9010950356152,954.7509382666392,943.8809159970199,948.3194580078125,6741464
2021-07-22,959.7330340406753,961.9523350417173,950.289713605715,960.5029907226562,7972397
2021-07-23,966.7306251488294,966.7306251488294,952.0560439551456,953.709228515625,9937030
2021-07-26,954.750983452507,960.6388700312618,938.0382987131833,940.642578125,12389668
2021-07-27,940.6199818363403,943.7450933231961,924.8584510240973,930.746337890625,10824523
2021-07-28,932.1050710097164,932.1050710097164,913.1957274047861,922.7523193359375,12897848
2021-07-29,930.2933070796137,939.5328466147575,925.4923692829198,929.95361328125,13765738
2021-07-30,932.1051183084293,936.6116474595756,919.9216040760916,921.8239135742188,11350608
2021-08-02,930.4293230086479,941.7975357253354,924.4734496016514,938.6724243164062,10925104
2021-08-03,946.5984882609035,947.051393415347,934.9132237953986,945.5794067382812,11817299
2021-08-04,948.5912889902256,957.468493410625,945.239695070289,952.8261108398438,13169800
2021-08-05,957.604315821072,975.9474827845528,953.0525024475675,966.6400756835938,21252078
2021-08-06,964.6925186543999,972.3921457790564,941.5031281309346,946.168212890625,16620987
2021-08-09,942.522196064497,946.5078930939915,935.9548618556917,940.7784423828125,7494143
2021-08-10,942.9750770172923,957.0155553586313,939.238504866793,945.7152099609375,11919198
2021-08-11,949.7461759426325,960.1859355324891,943.6091647712293,958.9630737304688,9184963
2021-08-12,962.4052906590396,962.9941092821113,953.3922326146494,955.88330078125,8137612
2021-08-13,958.9630848706249,973.7282353115995,955.181228214771,971.8032836914062,12780901
2021-08-16,973.4791039346753,997.7781437654177,963.8772277608733,984.4170532226562,21935444
2021-08-17,982.3111087496648,989.7162669243918,972.7998007947025,980.2276611328125,12658169
2021-08-18,984.6436264377176,990.4409443539315,974.9511803260805,984.0321655273438,10075860
2021-08-20,970.6031610804986,983.7377705115615,967.8856701396296,972.9810180664062,9426282
2021-08-23,984.6436123486905,984.6436123486905,965.756910089194,979.3671264648438,9854395
2021-08-24,980.5899239821464,992.7960796490014,976.3098177521405,989.036865234375,11864472
2021-08-25,989.8068486851395,1005.4778098902966,987.4063495975512,997.5969848632812,13380559
2021-08-26,1000.0427010414176,1016.7553848783828,998.6839258042111,1010.210693359375,18589616
2021-08-27,1013.1773175448565,1015.7816567389563,1003.6887127626729,1008.8292846679688,10480636
2021-08-30,1019.0652631807153,1030.7732288164937,1013.0867479284576,1028.23681640625,14027062
2021-08-31,1031.2488192815088,1034.351288521445,1015.5552151770501,1022.7566528320312,26485463
2021-09-01,1029.482446811587,1038.495504793424,1024.9532755584123,1026.8101806640625,11145486
2021-09-02,1021.3299483032399,1045.2440116453542,1021.3299483032399,1039.1749267578125,9956770
2021-09-03,1046.2403322593964,1084.7384068201698,1042.8435137983438,1081.79443359375,30664428
2021-09-06,1092.890848363497,1123.2363883848902,1092.4378833660398,1098.59765625,33641710
2021-09-07,1100.5904921516135,1113.272195169168,1092.4379602260194,1105.52734375,17349882
2021-09-08,1110.5549614804072,1111.460771899485,1090.0150722909684,1101.2021484375,14301651
2021-09-09,1099.6393200037396,1104.1458485171872,1094.2949080752658,1098.59765625,8963249
2021-09-13,1101.949327153265,1101.949327153265,1072.5323557228828,1074.1175537109375,16311160
2021-09-14,1075.6799942004575,1084.2853708994928,1071.6036685532943,1072.71337890625,8908356
2021-09-15,1072.7360805602518,1085.0780298856923,1072.7360805602518,1077.1746826171875,9071075
2021-09-16,1078.6466838742622,1103.6476943262978,1072.0567074838173,1099.7752685546875,13448882
2021-09-17,1107.8371172912175,1112.2983612101125,1075.9516645338,1082.7227783203125,34882133
2021-09-20,1074.3666078022443,1095.3140549772365,1073.415512979037,1084.444091796875,11779819
2021-09-21,1089.2675674362638,1094.521410709491,1079.756260196694,1089.1317138671875,9915736
2021-09-22,1090.6263219107966,1106.025455452025,1086.210362198153,1100.8170166015625,10995912
2021-09-23,1108.4711801776828,1130.9358947742098,1107.6106545484265,1127.72021484375,15748397
2021-09-24,1133.9026086017536,1134.7631343059459,1119.613065939266,1124.459228515625,15192163
2021-09-27,1126.4068411721403,1145.8370159244848,1121.1077134942575,1143.3685302734375,15373834
2021-09-28,1147.6939414575027,1161.689135216267,1138.092065214608,1154.0574951171875,18035258
2021-09-29,1163.9989904714507,1163.9989904714507,1141.3757775989957,1144.9085693359375,9719875
2021-09-30,1143.617767070168,1147.965800183617,1132.4533348800387,1141.013427734375,13590654
2021-10-01,1133.1779894261922,1150.320936930379,1130.0302358504632,1143.0289306640625,8958928
2021-10-04,1156.2994941506686,1166.1957202690803,1149.0754144086845,1157.7261962890625,10918552
2021-10-05,1157.2506571555696,1183.021746414647,1153.7405072590436,1181.7535400390625,13533634
2021-10-06,1186.6220403418224,1186.6220403418224,1155.4387392445246,1159.4017333984375,10258881
2021-10-07,1175.3219190109808,1177.0204479976474,1162.9573276219362,1165.0860595703125,6336665
2021-10-08,1170.9058970806193,1215.8128063604343,1169.2074879845059,1209.85693359375,15772493
2021-10-11,1223.5124154081877,1231.9366542030143,1198.1263679197398,1201.4326171875,14768666
2021-10-12,1197.9680041586355,1215.1788796176056,1196.2694750157295,1208.29443359375,6682011
2021-10-13,1213.3671067441883,1231.7103344750674,1208.9737889938256,1220.5911865234375,9959762
2021-10-14,1223.0369280495506,1230.7818997818822,1217.0810544912147,1223.0595703125,8623469
2021-10-18,1208.6565974394791,1243.2594798164876,1205.8031936198447,1226.3204345703125,13594479
2021-10-19,1233.6577079515857,1246.1356302424738,1226.5016753447112,1237.3037109375,8833409
2021-10-20,1242.2406818392346,1242.2406818392346,1219.0286485058555,1223.0595703125,12710570
2021-10-21,1235.2883536749923,1235.5600608138357,1179.0358711096487,1187.7772216796875,20831669
2021-10-22,1186.6449281501523,1206.9810344630644,1182.7951444896785,1189.99658203125,11027475
2021-10-25,1213.8201056097269,1213.8201056097269,1163.9990998346134,1178.40185546875,17198417
2021-10-26,1185.3316395816128,1208.792739180254,1179.013369646043,1205.2373046875,9750178
2021-10-27,1201.138372284091,1212.3707315877277,1186.6222858874532,1189.99658203125,9896298
2021-10-28,1186.6449607541927,1194.7748510901267,1173.283988789091,1176.9525146484375,9886181
2021-10-29,1175.843002928945,1175.843002928945,1133.0649360229452,1148.7132568359375,14233025
2021-11-01,1148.7130092033958,1157.6581394917466,1129.6224692481335,1149.4150390625,15481114
2021-11-02,1152.6759743257276,1154.0347494893902,1130.1433322293192,1132.656982421875,10569130
2021-11-03,1135.034999269857,1141.353269066621,1114.6310849978502,1124.8670654296875,11989430
2021-11-04,1129.1016597099565,1134.514118637374,1127.7656464746356,1131.77392578125,1705656
2021-11-08,1141.0812028496898,1141.3530297583548,1112.5474040608012,1133.1778564453125,20337183
2021-11-09,1134.5594552172417,1145.38413396809,1126.4295651226153,1142.1231689453125,15682497
2021-11-10,1139.8585280650227,1158.56403111527,1133.9479393972968,1154.8953857421875,10253470
2021-11-11,1150.4342522284085,1164.2255472479787,1148.3960890914113,1157.0015869140625,10722478
2021-11-12,1160.783343266853,1177.0204805624614,1158.1110771767962,1174.46142578125,8712341
2021-11-15,1177.5864592461573,1178.5829582987624,1163.9989466772256,1167.53173828125,4803269
2021-11-16,1164.9273785910239,1166.2635115241296,1130.030145313062,1140.4019775390625,11337581
2021-11-17,1131.819326460902,1131.819326460902,1114.631092727357,1115.9898681640625,10202029
2021-11-18,1114.1781038166205,1127.3127730233773,1109.6715745881545,1120.201904296875,8505625
