Date,Open,High,Low,Close,Volume
2021-07-07,392.74674878972604,397.0003180427238,391.1001869423301,395.9483642578125,14473774
2021-07-08,395.9026133381047,398.2809618596144,386.1148341490934,388.2644958496094,21433043
2021-07-09,388.76757956535766,391.054447680448,385.1543167771667,387.6241455078125,16844494
2021-07-12,390.1396765129672,393.56997847527344,388.4016624352391,391.0086975097656,12886781
2021-07-13,393.34130279972993,394.98783662184604,391.78622136649943,392.5180358886719,12831125
2021-07-14,392.4265676463679,395.4452223849918,390.04821922897344,394.3017883300781,12767351
2021-07-15,395.8111400579754,396.0398268669029,393.02114423953844,394.8963928222656,11030732
2021-07-16,395.17083371184594,395.6282073619754,391.0087446620168,393.3413391113281,8713863
2021-07-19,387.3039562318398,392.8381935032809,383.1418676668262,391.4203186035156,14426686
2021-07-20,390.59708429152414,390.59708429152414,383.187625821321,385.0171203613281,14623321
2021-07-22,389.2706766176685,390.3226582758298,385.0171075370059,386.0690612792969,11799761
2021-07-23,386.84659960481434,393.2955843528593,383.73646459295605,392.3350830078125,17704661
2021-07-26,391.3288873011682,391.3288873011682,386.29777710581675,387.2125244140625,14037519
2021-07-27,387.9900424357847,396.31424803539767,387.8528359307758,393.29559326171875,24119619
2021-07-28,393.34130758964636,393.7986812031227,385.15430874207203,389.2249450683594,17636515
2021-07-29,389.6823083744162,405.78186472611054,389.22493477303783,403.9066162109375,35263606
2021-07-30,403.8609135541163,406.5136750135399,393.9816543549279,394.98785400390625,35196813
2021-08-02,397.6863408679497,399.4701090548665,394.9878254909973,397.82354736328125,16926025
2021-08-03,397.8693121846302,409.7152718650125,396.63439786165935,408.43463134765625,40922962
2021-08-04,410.4013253925912,427.5985894893642,403.86088850061356,417.9937438964844,129761158
2021-08-05,421.6984642996832,423.07058511627656,401.0251717465032,404.1810607910156,58595639
2021-08-06,405.8733447640056,408.8919993647804,397.00028573672193,398.5096130371094,38236066
2021-08-09,400.5678090955559,404.1353177330876,394.256058749789,396.4514465332031,22196404
2021-08-10,397.3662183681108,399.19571295352193,385.7489445002737,390.093994140625,27794251
2021-08-11,393.15836386828283,395.9940859768348,387.07530013088865,391.55755615234375,23827946
2021-08-12,393.34131870089925,393.75296613100426,388.7675824369353,390.7342834472656,16847144
2021-08-13,391.1458999286601,395.39946873441653,388.76755167640727,394.4389953613281,20908992
2021-08-16,393.3413446913171,397.0003339442595,387.8528608119033,388.6304016113281,17608693
2021-08-17,388.63035721880027,389.545104427546,379.8487784316673,385.5659484863281,22957877
2021-08-18,386.1605783118048,388.17303359652175,382.36438248987656,383.9194641113281,17668574
2021-08-20,379.6201319511905,381.7697937032452,370.60986540483714,372.0277404785156,25541790
2021-08-23,376.0525904034102,377.7906045506143,367.0423246390654,374.5889892578125,26559937
2021-08-24,374.5889855587402,383.0503973204456,373.3998253423619,381.9984436035156,19012313
2021-08-25,383.27910478838214,385.3830123356692,378.9797814680828,380.7635498046875,16410980
2021-08-26,379.162754757696,380.3519150779214,375.04639191955454,375.7324523925781,15897679
2021-08-27,375.36653133773024,379.02552025699,372.7594961495837,377.2875061035156,15090541
2021-08-30,379.07124700345594,387.2124917774755,378.2479800785992,386.6636657714844,20308691
2021-08-31,387.7156306445066,390.5970789222341,383.00468785192083,389.7280578613281,26262421
2021-09-01,391.0544291910187,395.67389139874035,388.9047676812977,393.24981689453125,18776721
2021-09-02,394.6219677974022,396.5429426529436,391.28314583574775,393.1126403808594,14372717
2021-09-03,394.484772248245,397.27474034069536,391.6948041557947,394.6219787597656,14233624
2021-09-06,395.1708093781607,396.863097362607,393.3870410861472,394.3017883300781,10694099
2021-09-07,394.3017762099861,394.89638423296043,388.85904702541853,392.5180358886719,14928735
2021-09-08,392.426571283819,398.28094811606775,390.9172439005169,394.57623291015625,22817464
2021-09-09,393.56996989751093,396.817311184705,393.341283105008,395.4451904296875,9662128
2021-09-13,393.43280924717317,396.817357421056,392.2436210380753,395.9483642578125,9567921
2021-09-14,397.91506584467015,399.5158735808269,395.39951083070963,396.0855712890625,9981562
2021-09-15,396.0855461642564,407.062512801603,394.66769913994705,406.01055908203125,22181568
2021-09-16,406.92531346386943,426.36369222629446,405.00433868534986,424.1683044433594,42637448
2021-09-17,428.10169954211534,431.66920812179234,411.9564166703356,415.38671875,41529478
2021-09-20,411.0874330206504,414.83790255192383,398.5096575849526,400.1562194824219,18376916
2021-09-21,402.62596652481625,403.7236743094292,395.7653626606565,401.39105224609375,17279588
2021-09-22,401.48252428750936,405.05003264030216,398.92124339726524,401.4367980957031,14321143
2021-09-23,404.68418393628315,412.6882224948167,404.36401681076757,411.45330810546875,20516770
2021-09-24,412.64247446805365,413.37426107405764,402.4887747934983,403.1748352050781,10731274
2021-09-27,406.97104157222344,412.1393578960577,404.5469669689246,408.526123046875,11746892
2021-09-28,410.9044686740325,416.9417780856612,402.1228896445678,406.9710388183594,19241170
2021-09-29,404.1810361219813,422.88759869693416,401.66548144509613,420.78369140625,38635938
2021-09-30,420.73799754782823,425.26597956466856,412.91689202004414,414.3804931640625,26530369
